longitude,latitude,median_income,kmeans_cluster,dbscan_cluster
-122.3,37.81,1.8516,1,0
-122.29,37.81,0.9802,1,0
-122.29,37.81,1.7719,1,0
-122.29,37.81,0.7286,1,0
-122.29,37.81,1.75,1,0
-122.29,37.81,0.4999,1,0
-122.29,37.81,2.483,1,0
-122.28,37.81,0.9241,1,0
-122.28,37.81,2.4464,1,0
-122.28,37.81,1.1111,1,0
-122.29,37.81,0.8026,1,0
-122.28,37.8,2.0114,1,0
-122.28,37.81,1.5,1,0
-122.27,37.81,1.1667,1,0
-122.28,37.81,1.5208,1,0
-122.28,37.81,0.8075,1,0
-122.28,37.81,1.8088,1,0
-122.28,37.81,2.4083,1,0
-122.27,37.81,0.977,1,0
-122.27,37.81,0.76,1,0
-122.27,37.8,0.9722,1,0
-122.27,37.8,1.2434,1,0
-122.27,37.8,2.0938,1,0
-122.28,37.8,0.8668,1,0
-122.28,37.8,0.75,1,0
-122.27,37.79,2.6354,1,0
-122.27,37.8,1.8477,1,0
-122.26,37.8,2.0096,1,0
-122.26,37.82,2.8345,1,0
-122.26,37.81,2.0062,1,0
-122.26,37.82,1.2185,1,0
-122.26,37.82,2.6104,1,0
-122.25,37.81,2.4912,1,0
-122.25,37.81,3.2177,1,0
-122.25,37.81,3.125,1,0
-122.25,37.81,2.5795,1,0
-122.26,37.81,2.8406,1,0
-122.24,37.82,4.9306,1,0
-122.24,37.81,3.2727,1,0
-122.25,37.81,3.1691,1,0
-122.24,37.82,3.9,1,0
-122.25,37.82,3.9063,1,0
-122.25,37.82,5.0917,1,0
-122.25,37.82,2.6429,1,0
-122.25,37.82,3.0233,1,0
-122.25,37.83,3.1484,1,0
-122.25,37.83,3.4722,1,0
-122.25,37.83,3.1429,1,0
-122.25,37.83,2.4234,1,0
-122.25,37.83,3.0897,1,0
-122.23,37.84,5.8596,1,0
-122.23,37.84,5.2868,1,0
-122.24,37.83,5.956,1,0
-122.24,37.85,4.9643,1,0
-122.23,37.85,6.3434,1,0
-122.24,37.84,5.1773,1,0
-122.24,37.85,7.2354,1,0
-122.22,37.85,5.457,1,0
-122.22,37.84,7.5,1,0
-122.21,37.84,6.0194,1,0
-122.21,37.83,7.5544,1,0
-122.2,37.84,6.0666,1,0
-122.21,37.84,7.0548,1,0
-122.19,37.84,11.6017,1,0
-122.2,37.84,7.4882,1,0
-122.21,37.83,6.8976,1,0
-122.19,37.83,8.2049,1,0
-122.2,37.83,8.401,1,0
-122.19,37.83,6.8538,1,0
-122.19,37.82,8.317,1,0
-122.2,37.82,7.0175,1,0
-122.2,37.82,6.3302,1,0
-122.18,37.81,6.3624,1,0
-122.21,37.82,7.0549,1,0
-122.2,37.81,6.7851,1,0
-122.21,37.8,2.8929,1,0
-122.21,37.8,3.0812,1,0
-122.21,37.81,5.2402,1,0
-122.22,37.81,6.5217,1,0
-122.22,37.8,3.2632,1,0
-122.22,37.8,3.0298,1,0
-122.22,37.8,4.5428,1,0
-122.22,37.81,4.072,1,0
-122.22,37.81,5.3509,1,0
-122.23,37.8,3.1603,1,0
-122.23,37.81,4.7708,1,0
-122.22,37.81,8.1564,1,0
-122.23,37.81,8.8793,1,0
-122.24,37.81,6.8591,1,0
-122.24,37.81,6.0302,1,0
-122.23,37.81,7.508,1,0
-122.24,37.81,2.7477,1,0
-122.24,37.8,2.1944,1,0
-122.25,37.8,3.0149,1,0
-122.24,37.81,3.675,1,0
-122.25,37.81,3.225,1,0
-122.25,37.8,2.9345,1,0
-122.25,37.8,2.1429,1,0
-122.25,37.8,1.6121,1,0
-122.25,37.8,1.3929,1,0
-122.24,37.79,2.3173,1,0
-122.25,37.79,1.7772,1,0
-122.25,37.79,2.6458,1,0
-122.25,37.79,2.181,1,0
-122.25,37.8,2.2303,1,0
-122.25,37.8,1.6504,1,0
-122.24,37.8,2.2697,1,0
-122.24,37.8,2.1563,1,0
-122.24,37.8,2.1348,1,0
-122.24,37.8,2.6292,1,0
-122.23,37.8,2.3833,1,0
-122.24,37.8,2.957,1,0
-122.24,37.8,2.5238,1,0
-122.23,37.8,1.9375,1,0
-122.23,37.8,1.9028,1,0
-122.23,37.8,2.25,1,0
-122.23,37.8,2.3929,1,0
-122.23,37.79,2.1917,1,0
-122.23,37.79,2.9357,1,0
-122.23,37.79,1.8854,1,0
-122.24,37.79,2.1638,1,0
-122.24,37.79,2.125,1,0
-122.24,37.79,3.375,1,0
-122.24,37.79,2.2542,1,0
-122.25,37.79,2.1,1,0
-122.25,37.79,1.6,1,0
-122.25,37.79,3.625,1,0
-122.26,37.8,1.6929,1,0
-122.22,37.77,1.6471,1,0
-122.22,37.77,2.59,1,0
-122.23,37.77,2.57,1,0
-122.23,37.78,2.6429,1,0
-122.23,37.78,3.0257,1,0
-122.22,37.78,1.4886,1,0
-122.23,37.78,1.9338,1,0
-122.23,37.78,1.4844,1,0
-122.23,37.78,1.6009,1,0
-122.23,37.79,2.0375,1,0
-122.23,37.79,2.293,1,0
-122.22,37.79,2.1494,1,0
-122.23,37.79,1.6198,1,0
-122.23,37.79,1.3281,1,0
-122.22,37.79,3.5156,1,0
-122.22,37.79,3.9048,1,0
-122.21,37.79,3.0893,1,0
-122.22,37.79,2.6042,1,0
-122.22,37.79,2.5,1,0
-122.22,37.79,2.7969,1,0
-122.2,37.79,2.8321,1,0
-122.21,37.79,2.9583,1,0
-122.21,37.79,2.8365,1,0
-122.21,37.79,2.875,1,0
-122.21,37.8,3.0682,1,0
-122.21,37.8,3.0757,1,0
-122.2,37.8,4.9559,1,0
-122.2,37.8,4.7721,1,0
-122.21,37.8,3.4861,1,0
-122.2,37.8,5.1184,1,0
-122.21,37.8,4.0977,1,0
-122.19,37.8,4.744,1,0
-122.19,37.8,4.2727,1,0
-122.19,37.79,2.9844,1,0
-122.2,37.79,4.1739,1,0
-122.2,37.8,3.8487,1,0
-122.19,37.8,4.0114,1,0
-122.19,37.79,4.6563,1,0
-122.19,37.79,2.9297,1,0
-122.2,37.79,2.3036,1,0
-122.2,37.79,2.6667,1,0
-122.2,37.79,2.619,1,0
-122.21,37.79,2.4167,1,0
-122.2,37.79,2.7788,1,0
-122.21,37.78,2.7352,1,0
-122.21,37.78,1.8472,1,0
-122.21,37.78,2.6583,1,0
-122.21,37.78,3.0536,1,0
-122.22,37.78,2.3906,1,0
-122.21,37.78,1.7188,1,0
-122.21,37.78,2.625,1,0
-122.22,37.77,2.8015,1,0
-122.22,37.78,1.7276,1,0
-122.22,37.78,2.0801,1,0
-122.22,37.78,2.489,1,0
-122.21,37.76,1.7546,1,0
-122.21,37.77,4.0904,1,0
-122.21,37.77,2.6765,1,0
-122.2,37.77,2.4338,1,0
-122.21,37.77,2.3309,1,0
-122.21,37.77,2.2604,1,0
-122.19,37.77,1.8039,1,0
-122.2,37.77,2.2562,1,0
-122.2,37.77,2.0562,1,0
-122.2,37.78,3.5398,1,0
-122.2,37.78,3.1167,1,0
-122.2,37.78,2.5401,1,0
-122.2,37.77,2.898,1,0
-122.21,37.78,2.3125,1,0
-122.19,37.78,2.875,1,0
-122.19,37.77,3.3715,1,0
-122.19,37.77,3.5114,1,0
-122.19,37.78,4.3125,1,0
-122.19,37.78,3.22,1,0
-122.18,37.78,3.875,1,0
-122.19,37.78,5.2328,1,0
-122.19,37.78,3.7262,1,0
-122.2,37.78,4.5893,1,0
-122.18,37.79,5.2578,1,0
-122.18,37.79,7.0875,1,0
-122.18,37.79,3.9712,1,0
-122.19,37.79,2.9514,1,0
-122.19,37.79,2.6667,1,0
-122.18,37.81,5.4446,1,0
-122.18,37.8,6.2838,1,0
-122.18,37.8,6.7527,1,0
-122.13,37.77,7.0712,1,0
-122.16,37.79,5.9849,1,0
-122.17,37.78,3.6875,1,0
-122.17,37.77,2.875,1,0
-122.18,37.78,3.4205,1,0
-122.18,37.78,3.2984,1,0
-122.17,37.78,3.875,1,0
-122.17,37.78,4.175,1,0
-122.16,37.77,4.375,1,0
-122.16,37.77,4.7708,1,0
-122.16,37.77,3.5739,1,0
-122.16,37.77,3.0958,1,0
-122.17,37.77,3.3958,1,0
-122.17,37.77,1.871,1,0
-122.17,37.76,1.9356,1,0
-122.17,37.76,2.1842,1,0
-122.18,37.76,2.2917,1,0
-122.17,37.76,2.4333,1,0
-122.18,37.76,1.9479,1,0
-122.18,37.76,3.9063,1,0
-122.18,37.76,1.8407,1,0
-122.18,37.77,2.0786,1,0
-122.18,37.77,2.8125,1,0
-122.18,37.76,1.8913,1,0
-122.19,37.76,1.7056,1,0
-122.18,37.77,2.2768,1,0
-122.18,37.77,3.2552,1,0
-122.18,37.77,2.0556,1,0
-122.19,37.76,2.4659,1,0
-122.2,37.76,1.75,1,0
-122.19,37.77,2.0469,1,0
-122.19,37.77,2.7159,1,0
-122.19,37.76,1.2083,1,0
-122.19,37.76,1.925,1,0
-122.2,37.75,1.5809,1,0
-122.2,37.76,1.4097,1,0
-122.19,37.76,0.7683,1,0
-122.19,37.75,1.3194,1,0
-122.19,37.75,0.8012,1,0
-122.19,37.76,1.9479,1,0
-122.19,37.74,1.1765,1,0
-122.18,37.74,2.3456,1,0
-122.19,37.73,2.1538,1,0
-122.19,37.74,2.5139,1,0
-122.19,37.73,1.2625,1,0
-122.18,37.73,2.9063,1,0
-122.18,37.73,2.5192,1,0
-122.18,37.73,2.1111,1,0
-122.18,37.73,2.455,1,0
-122.17,37.74,2.4028,1,0
-122.17,37.74,2.15,1,0
-122.17,37.74,2.4776,1,0
-122.17,37.73,2.1587,1,0
-122.18,37.74,1.8438,1,0
-122.17,37.74,3.0298,1,0
-122.17,37.74,2.25,1,0
-122.18,37.74,2.2467,1,0
-122.18,37.75,4.0469,1,0
-122.18,37.75,1.325,1,0
-122.17,37.75,1.6196,1,0
-122.18,37.75,2.1731,1,0
-122.19,37.75,1.9167,1,0
-122.18,37.75,2.069,1,0
-122.18,37.75,1.712,1,0
-122.17,37.76,2.5625,1,0
-122.17,37.75,1.9821,1,0
-122.17,37.75,2.5043,1,0
-122.17,37.75,2.3281,1,0
-122.17,37.75,1.4375,1,0
-122.16,37.76,2.5122,1,0
-122.16,37.75,1.5625,1,0
-122.17,37.75,3.1587,1,0
-122.17,37.76,1.8426,1,0
-122.16,37.76,4.6696,1,0
-122.16,37.76,2.4598,1,0
-122.15,37.76,6.0749,1,0
-122.14,37.77,4.8304,1,0
-122.14,37.76,5.5701,1,0
-122.13,37.76,5.37,1,0
-122.12,37.75,6.86,1,0
-122.12,37.75,7.6923,1,0
-122.14,37.75,4.0313,1,0
-122.14,37.75,6.8323,1,0
-122.13,37.75,4.975,1,0
-122.13,37.75,5.3602,1,0
-122.13,37.74,5.0,1,0
-122.16,37.75,2.925,1,0
-122.15,37.75,3.8913,1,0
-122.15,37.75,3.225,1,0
-122.15,37.74,3.1458,1,0
-122.16,37.75,2.537,1,0
-122.16,37.75,2.5568,1,0
-122.15,37.74,3.5083,1,0
-122.15,37.74,3.3125,1,0
-122.16,37.75,1.8235,1,0
-122.16,37.75,3.8047,1,0
-122.17,37.74,2.2917,1,0
-122.17,37.75,2.4962,1,0
-122.16,37.74,4.0417,1,0
-122.16,37.74,3.4844,1,0
-122.16,37.74,4.1458,1,0
-122.16,37.74,2.625,1,0
-122.16,37.74,2.0227,1,0
-122.29,37.9,3.3333,1,0
-122.29,37.9,5.338,1,0
-122.29,37.89,3.4732,1,0
-122.3,37.9,3.5125,1,0
-122.29,37.89,3.1375,1,0
-122.3,37.89,2.8036,1,0
-122.3,37.9,4.5824,1,0
-122.3,37.89,3.0208,1,0
-122.3,37.89,4.0875,1,0
-122.33,37.89,4.5268,1,0
-122.34,37.88,1.7375,1,0
-122.29,37.89,3.1795,1,0
-122.29,37.88,3.8672,1,0
-122.29,37.89,5.1675,1,0
-122.29,37.89,5.1696,1,0
-122.28,37.88,4.2614,1,0
-122.29,37.89,5.0551,1,0
-122.27,37.9,5.6228,1,0
-122.26,37.9,7.8864,1,0
-122.27,37.9,7.9556,1,0
-122.27,37.9,6.174,1,0
-122.27,37.9,6.9414,1,0
-122.27,37.89,8.8342,1,0
-122.28,37.9,7.1754,1,0
-122.28,37.9,10.0825,1,0
-122.28,37.9,4.9083,1,0
-122.28,37.89,5.7912,1,0
-122.28,37.89,4.5893,1,0
-122.28,37.89,5.4171,1,0
-122.28,37.89,4.125,1,0
-122.27,37.89,7.266,1,0
-122.27,37.89,5.3989,1,0
-122.26,37.9,7.8336,1,0
-122.25,37.89,6.1593,1,0
-122.26,37.89,6.381,1,0
-122.26,37.89,6.6828,1,0
-122.25,37.89,7.5385,1,0
-122.25,37.89,6.7138,1,0
-122.26,37.88,6.2425,1,0
-122.26,37.88,5.7979,1,0
-122.27,37.88,4.2813,1,0
-122.27,37.88,3.5417,1,0
-122.27,37.88,3.0132,1,0
-122.28,37.88,4.1429,1,0
-122.28,37.88,4.1912,1,0
-122.28,37.88,3.9167,1,0
-122.29,37.88,3.8897,1,0
-122.29,37.88,3.1065,1,0
-122.29,37.88,2.9926,1,0
-122.29,37.88,3.556,1,0
-122.3,37.88,1.475,1,0
-122.3,37.88,1.6971,1,0
-122.3,37.87,2.1705,1,0
-122.3,37.86,2.75,1,0
-122.29,37.85,2.5682,1,0
-122.3,37.88,2.9,1,0
-122.3,37.87,2.2208,1,0
-122.28,37.88,3.2344,1,0
-122.28,37.87,3.5156,1,0
-122.28,37.87,1.9805,1,0
-122.29,37.87,2.6684,1,0
-122.29,37.87,3.875,1,0
-122.28,37.88,3.006,1,0
-122.28,37.87,2.543,1,0
-122.28,37.87,2.8676,1,0
-122.27,37.88,2.1907,1,0
-122.27,37.87,1.7778,1,0
-122.27,37.88,2.52,1,0
-122.26,37.88,4.2788,1,0
-122.26,37.88,2.944,1,0
-122.26,37.88,1.725,1,0
-122.25,37.87,5.2289,1,0
-122.25,37.87,2.5562,1,0
-122.25,37.87,0.949,1,0
-122.25,37.87,1.1696,1,0
-122.26,37.87,1.4012,1,0
-122.26,37.87,1.1859,1,0
-122.27,37.87,1.7464,1,0
-122.27,37.87,2.8846,1,0
-122.27,37.87,2.7372,1,0
-122.28,37.86,3.8594,1,0
-122.28,37.87,3.5625,1,0
-122.28,37.87,2.2788,1,0
-122.29,37.87,2.537,1,0
-122.29,37.87,2.525,1,0
-122.29,37.86,1.9946,1,0
-122.28,37.86,2.8214,1,0
-122.29,37.87,2.6165,1,0
-122.29,37.86,1.9483,1,0
-122.28,37.86,1.9327,1,0
-122.28,37.86,1.9798,1,0
-122.28,37.85,2.4167,1,0
-122.27,37.86,2.5417,1,0
-122.28,37.86,3.3906,1,0
-122.28,37.86,2.5652,1,0
-122.28,37.86,2.2845,1,0
-122.27,37.86,2.6071,1,0
-122.27,37.86,3.15,1,0
-122.27,37.86,2.6914,1,0
-122.27,37.86,1.8447,1,0
-122.26,37.86,1.6307,1,0
-122.26,37.86,2.9044,1,0
-122.26,37.86,2.9405,1,0
-122.26,37.86,3.3893,1,0
-122.25,37.86,3.0417,1,0
-122.25,37.86,7.0897,1,0
-122.25,37.86,5.0463,1,0
-122.25,37.86,1.7652,1,0
-122.24,37.86,7.8521,1,0
-122.24,37.85,9.3959,1,0
-122.25,37.86,5.3794,1,0
-122.26,37.85,3.2619,1,0
-122.27,37.85,2.7054,1,0
-122.27,37.85,2.2431,1,0
-122.27,37.85,1.9028,1,0
-122.27,37.85,1.5817,1,0
-122.27,37.85,2.2841,1,0
-122.27,37.85,1.3785,1,0
-122.28,37.85,2.9018,1,0
-122.28,37.85,1.73,1,0
-122.28,37.85,2.2625,1,0
-122.29,37.84,2.2106,1,0
-122.28,37.83,2.6997,1,0
-122.3,37.84,4.0018,1,0
-122.23,37.83,7.8772,1,0
-122.22,37.82,11.8603,1,0
-122.22,37.82,13.499,1,-1
-122.23,37.82,12.2138,1,0
-122.23,37.82,8.1872,1,0
-122.23,37.82,12.3804,1,0
-122.24,37.83,5.8948,1,0
-122.24,37.83,8.1194,1,0
-122.23,37.82,8.7477,1,0
-122.24,37.82,6.155,1,0
-122.25,37.82,5.883,1,0
-122.23,37.76,5.2128,1,0
-122.23,37.76,4.7188,1,0
-122.23,37.76,5.2915,1,0
-122.24,37.77,2.6411,1,0
-122.23,37.77,3.3214,1,0
-122.24,37.77,3.6417,1,0
-122.25,37.77,3.0161,1,0
-122.25,37.77,3.1771,1,0
-122.25,37.77,3.4531,1,0
-122.25,37.77,4.3098,1,0
-122.26,37.78,3.3438,1,0
-122.26,37.78,2.9213,1,0
-122.27,37.78,2.6806,1,0
-122.27,37.78,3.7708,1,0
-122.27,37.78,3.9444,1,0
-122.27,37.78,5.2601,1,0
-122.28,37.79,2.5444,1,0
-122.3,37.77,2.6447,1,0
-122.28,37.78,2.5762,1,0
-122.29,37.78,1.9427,1,0
-122.28,37.77,2.9688,1,0
-122.28,37.77,3.75,1,0
-122.29,37.76,5.1702,1,0
-122.28,37.78,2.5139,1,0
-122.26,37.77,2.9732,1,0
-122.27,37.77,5.5337,1,0
-122.27,37.77,4.1667,1,0
-122.27,37.77,2.7115,1,0
-122.27,37.77,3.3269,1,0
-122.25,37.77,3.2685,1,0
-122.26,37.77,4.7778,1,0
-122.26,37.77,4.226,1,0
-122.26,37.77,3.3571,1,0
-122.26,37.77,2.9899,1,0
-122.26,37.77,2.875,1,0
-122.24,37.77,2.3882,1,0
-122.25,37.77,2.975,1,0
-122.23,37.76,5.1039,1,0
-122.23,37.76,4.1458,1,0
-122.24,37.76,3.4762,1,0
-122.24,37.76,2.6833,1,0
-122.23,37.76,5.75,1,0
-122.23,37.75,3.9632,1,0
-122.24,37.75,4.9489,1,0
-122.24,37.75,4.8711,1,0
-122.24,37.76,3.0718,1,0
-122.24,37.76,3.6719,1,0
-122.24,37.76,4.6094,1,0
-122.24,37.73,4.5213,1,0
-122.25,37.74,4.4562,1,0
-122.24,37.72,7.611,1,0
-122.27,37.73,3.2689,1,0
-122.25,37.76,3.567,1,0
-122.27,37.74,3.6875,1,0
-122.27,37.77,4.7695,1,0
-122.28,37.75,3.1972,1,0
-122.06,37.77,7.2634,1,0
-122.06,37.73,7.0568,1,0
-122.06,37.71,4.635,1,0
-122.07,37.71,5.3015,1,0
-122.07,37.71,4.9801,1,0
-122.07,37.72,5.4834,1,0
-122.08,37.72,6.187,1,0
-122.08,37.72,5.6194,1,0
-122.08,37.71,5.4639,1,0
-122.09,37.71,5.1498,1,0
-122.1,37.72,5.8382,1,0
-122.11,37.71,4.65,1,0
-122.1,37.7,4.3819,1,0
-122.1,37.69,3.7222,1,0
-122.09,37.71,5.2855,1,0
-122.09,37.7,4.3375,1,0
-122.1,37.71,5.2131,1,0
-122.09,37.7,6.005,1,0
-122.08,37.71,5.0519,1,0
-122.08,37.71,4.8237,1,0
-122.08,37.7,5.2497,1,0
-122.07,37.7,4.125,1,0
-122.06,37.7,4.6005,1,0
-122.06,37.7,3.5187,1,0
-122.07,37.7,3.0,1,0
-122.08,37.7,3.4934,1,0
-122.09,37.7,2.9861,1,0
-122.07,37.69,2.5362,1,0
-122.08,37.69,3.3021,1,0
-122.07,37.69,3.0964,1,0
-122.08,37.69,2.8512,1,0
-122.08,37.69,3.3478,1,0
-122.08,37.68,2.3958,1,0
-122.08,37.68,3.5295,1,0
-122.09,37.69,4.8036,1,0
-122.15,37.74,3.851,1,0
-122.14,37.74,4.0662,1,0
-122.14,37.73,4.6042,1,0
-122.15,37.74,2.2,1,0
-122.16,37.73,4.1164,1,0
-122.15,37.74,3.95,1,0
-122.15,37.73,4.9135,1,0
-122.15,37.73,2.8355,1,0
-122.17,37.73,3.25,1,0
-122.16,37.73,2.8301,1,0
-122.17,37.73,3.7159,1,0
-122.16,37.73,2.5625,1,0
-122.18,37.72,3.8047,1,0
-122.18,37.71,3.375,1,0
-122.17,37.71,3.244,1,0
-122.18,37.7,4.0268,1,0
-122.18,37.7,3.3906,1,0
-122.19,37.71,5.5461,1,0
-122.17,37.72,3.371,1,0
-122.17,37.72,3.5313,1,0
-122.17,37.72,3.663,1,0
-122.16,37.72,2.875,1,0
-122.17,37.72,4.0202,1,0
-122.16,37.71,4.5553,1,0
-122.16,37.71,3.4643,1,0
-122.16,37.72,3.3431,1,0
-122.15,37.73,2.1898,1,0
-122.15,37.72,2.9097,1,0
-122.15,37.72,3.375,1,0
-122.15,37.72,2.8125,1,0
-122.14,37.73,5.0,1,0
-122.14,37.73,3.0673,1,0
-122.14,37.73,3.8125,1,0
-122.13,37.73,6.9096,1,0
-122.13,37.72,7.912,1,0
-122.13,37.72,3.8393,1,0
-122.12,37.71,4.0,1,0
-122.13,37.72,6.5095,1,0
-122.14,37.72,3.5156,1,0
-122.14,37.72,2.983,1,0
-122.13,37.72,3.524,1,0
-122.13,37.71,3.1103,1,0
-122.13,37.71,3.5781,1,0
-122.15,37.71,3.1682,1,0
-122.14,37.71,2.6101,1,0
-122.14,37.71,3.6932,1,0
-122.13,37.7,3.4583,1,0
-122.13,37.7,3.9032,1,0
-122.15,37.71,4.0208,1,0
-122.15,37.7,3.5547,1,0
-122.14,37.7,4.5859,1,0
-122.13,37.7,2.6321,1,0
-122.13,37.69,3.395,1,0
-122.14,37.7,3.9702,1,0
-122.16,37.7,5.0043,1,0
-122.14,37.69,4.4659,1,0
-122.15,37.69,3.6625,1,0
-122.15,37.69,3.8864,1,0
-122.15,37.7,3.4583,1,0
-122.16,37.69,3.7813,1,0
-122.16,37.7,2.9917,1,0
-122.16,37.7,4.4375,1,0
-122.17,37.7,4.0,1,0
-122.16,37.68,2.3869,1,0
-122.17,37.69,4.7609,1,0
-122.18,37.68,5.4858,1,0
-122.16,37.69,4.3971,1,0
-122.15,37.69,4.0109,1,0
-122.15,37.68,4.3864,1,0
-122.15,37.68,4.2841,1,0
-122.15,37.69,5.1312,1,0
-122.14,37.69,2.9958,1,0
-122.14,37.68,3.6364,1,0
-122.14,37.68,2.7955,1,0
-122.1,37.69,2.9507,1,0
-122.12,37.69,3.4375,1,0
-122.13,37.69,2.875,1,0
-122.12,37.71,3.0345,1,0
-122.12,37.7,2.679,1,0
-122.12,37.7,2.9922,1,0
-122.12,37.69,4.1042,1,0
-122.12,37.7,2.5833,1,0
-122.11,37.7,2.1552,1,0
-122.11,37.7,2.3274,1,0
-122.11,37.7,2.4206,1,0
-122.1,37.69,3.9063,1,0
-122.11,37.69,2.6464,1,0
-122.11,37.69,3.4643,1,0
-122.12,37.69,2.3973,1,0
-122.03,37.69,6.5,1,0
-121.97,37.64,6.0574,1,0
-122.02,37.63,3.8958,1,0
-122.04,37.63,4.7813,1,0
-122.05,37.63,3.2829,1,0
-122.04,37.66,5.3169,1,0
-122.04,37.65,6.2579,1,0
-122.05,37.68,5.1701,1,0
-122.07,37.68,3.25,1,0
-122.06,37.68,3.1796,1,0
-122.08,37.68,2.4196,1,0
-122.08,37.68,2.6563,1,0
-122.08,37.67,0.9637,1,0
-122.09,37.67,2.3357,1,0
-122.09,37.68,3.5114,1,0
-122.09,37.69,3.3125,1,0
-122.09,37.68,2.4042,1,0
-122.09,37.68,2.8322,1,0
-122.09,37.68,2.5156,1,0
-122.1,37.68,3.4032,1,0
-122.1,37.68,2.535,1,0
-122.11,37.68,2.5772,1,0
-122.1,37.68,3.0962,1,0
-122.1,37.67,2.9564,1,0
-122.1,37.68,3.125,1,0
-122.12,37.68,2.95,1,0
-122.12,37.68,4.38,1,0
-122.12,37.68,4.0417,1,0
-122.11,37.67,3.8,1,0
-122.12,37.68,3.4839,1,0
-122.13,37.68,4.0588,1,0
-122.13,37.68,4.1974,1,0
-122.13,37.68,3.6,1,0
-122.14,37.68,4.267,1,0
-122.14,37.67,4.2386,1,0
-122.15,37.67,5.5797,1,0
-122.14,37.67,4.0682,1,0
-122.13,37.67,3.1734,1,0
-122.14,37.67,4.7933,1,0
-122.14,37.67,4.8125,1,0
-122.13,37.67,3.8676,1,0
-122.12,37.67,3.9395,1,0
-122.13,37.67,3.2434,1,0
-122.11,37.67,3.0917,1,0
-122.11,37.67,3.0645,1,0
-122.09,37.67,2.7019,1,0
-122.09,37.67,3.1115,1,0
-122.09,37.66,3.4722,1,0
-122.09,37.66,2.2222,1,0
-122.05,37.68,6.1104,1,0
-122.06,37.67,4.2733,1,0
-122.07,37.67,3.2465,1,0
-122.07,37.67,3.2417,1,0
-122.07,37.67,3.875,1,0
-122.04,37.67,6.0501,1,0
-122.04,37.67,6.8233,1,0
-122.04,37.66,6.3501,1,0
-122.07,37.66,2.6719,1,0
-122.07,37.66,3.875,1,0
-122.08,37.66,2.5625,1,0
-122.07,37.65,3.016,1,0
-122.08,37.65,2.7694,1,0
-122.08,37.65,3.6818,1,0
-122.08,37.66,2.1382,1,0
-122.1,37.66,3.7303,1,0
-122.1,37.66,3.875,1,0
-122.1,37.66,3.0489,1,0
-122.09,37.65,2.8203,1,0
-122.09,37.65,4.3897,1,0
-122.09,37.65,4.7143,1,0
-122.1,37.66,4.6875,1,0
-122.11,37.66,3.2091,1,0
-122.1,37.66,4.275,1,0
-122.11,37.66,4.1302,1,0
-122.11,37.66,3.09,1,0
-122.1,37.65,4.5417,1,0
-122.1,37.64,4.6635,1,0
-122.1,37.65,4.4427,1,0
-122.1,37.65,4.5303,1,0
-122.12,37.65,2.375,1,0
-122.1,37.63,3.8171,1,0
-122.1,37.61,4.5281,1,0
